ticket_id,platform,priority,status,assigned_group,title,description,root_cause,resolution_summary,created_date,resolved_date,app_link
CW-1190,CloudWatch,High,Closed,DevOps,RDS free storage space critically low,Database storage reaching capacity limits.,Unoptimized workload placement,Increased allocated resources.,2025-01-03 14:00:00,2025-01-04 16:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1190
PBI-1154,PowerBI,Medium,In Progress,DBA Team,Slow dataset refresh performance,Users reported mismatched revenue numbers in dashboard.,Dataset schema mismatch,Adjusted schema and refreshed dataset successfully.,2025-01-17 05:00:00,2025-01-17 08:00:00,https://app.powerbi.com/reports/PBI-1154
TAB-1090,Tableau,Low,Resolved,Security Ops,Dashboard filter not working,Interactive filters returning empty result set.,Network throttling issue,Updated credentials and reran extract.,2025-01-19 10:00:00,2025-01-20 06:00:00,https://tableau.example.com/views/TAB-1090
JIRA-1158,Jira,Low,Resolved,Security Ops,Email service outage,Database query execution time exceeding normal threshold.,Database deadlock,Resolved deadlock and restarted DB instance.,2025-01-04 14:00:00,2025-01-05 04:00:00,https://jira.example.com/browse/JIRA-1158
JIRA-1069,Jira,Low,Resolved,DevOps,503 service unavailable,System detected performance degradation across multiple nodes.,Memory leak issue,Restarted impacted service and cleared cache.,2025-01-02 16:00:00,2025-01-03 20:00:00,https://jira.example.com/browse/JIRA-1069
PBI-1117,PowerBI,Critical,Open,DBA Team,Power BI refresh failed,Visuals stuck loading indefinitely.,Dataset schema mismatch,Corrected data transformation steps.,2025-01-20 10:00:00,2025-01-23 03:00:00,https://app.powerbi.com/reports/PBI-1117
JIRA-1131,Jira,Medium,Closed,Helpdesk,Database timeout issue,Database query execution time exceeding normal threshold.,Database deadlock,Optimized memory allocation and redeployed.,2025-01-03 14:00:00,2025-01-05 06:00:00,https://jira.example.com/browse/JIRA-1131
JIRA-1044,Jira,Low,Closed,Helpdesk,Application crash after update,System detected performance degradation across multiple nodes.,Database deadlock,Resolved deadlock and restarted DB instance.,2025-01-26 22:00:00,2025-01-27 07:00:00,https://jira.example.com/browse/JIRA-1044
JIRA-1070,Jira,Low,Open,DBA Team,Application crash after update,Database query execution time exceeding normal threshold.,Network latency spike,Renewed authentication certificate.,2025-01-12 00:00:00,2025-01-13 05:00:00,https://jira.example.com/browse/JIRA-1070
CW-1091,CloudWatch,Low,Closed,DevOps,ELB target health check failures,Elevated latency impacting application performance.,High read/write operations,Optimized Lambda execution time.,2025-01-08 10:00:00,2025-01-10 14:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1091
TAB-1155,Tableau,Critical,Open,DBA Team,Extract refresh failed,Users experiencing delay in loading components.,Network throttling issue,Updated credentials and reran extract.,2025-02-01 21:00:00,2025-02-03 08:00:00,https://tableau.example.com/views/TAB-1155
PBI-1044,PowerBI,Medium,Resolved,DBA Team,Incorrect KPI values displayed,Scheduled data refresh encountered failure due to timeout.,Gateway server under maintenance,Adjusted schema and refreshed dataset successfully.,2025-01-30 08:00:00,2025-01-30 14:00:00,https://app.powerbi.com/reports/PBI-1044
CW-1161,CloudWatch,High,Closed,DevOps,Lambda timeout errors increasing,Database storage reaching capacity limits.,Infinite loop execution,Scaled instance type.,2025-02-07 15:00:00,2025-02-08 22:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1161
JIRA-1135,Jira,Critical,Closed,DBA Team,VPN connection failure,Users reported service disruptions affecting business workflow.,Database deadlock,Optimized memory allocation and redeployed.,2025-01-18 20:00:00,2025-01-20 00:00:00,https://jira.example.com/browse/JIRA-1135
JIRA-1082,Jira,Critical,Closed,Helpdesk,User unable to login,Database query execution time exceeding normal threshold.,SSL handshake failure,Restarted impacted service and cleared cache.,2025-02-05 08:00:00,2025-02-06 04:00:00,https://jira.example.com/browse/JIRA-1082
JIRA-1165,Jira,High,Resolved,Network Ops,Database timeout issue,System detected performance degradation across multiple nodes.,Expired authentication token,Optimized memory allocation and redeployed.,2025-01-17 13:00:00,2025-01-20 07:00:00,https://jira.example.com/browse/JIRA-1165
JIRA-1164,Jira,High,Closed,Cloud Team,503 service unavailable,Database query execution time exceeding normal threshold.,Network latency spike,Restarted impacted service and cleared cache.,2025-01-13 06:00:00,2025-01-15 01:00:00,https://jira.example.com/browse/JIRA-1164
JIRA-1028,Jira,High,Resolved,DevOps,VPN connection failure,Application not responding after deployment activities.,Network latency spike,Renewed authentication certificate.,2025-01-27 11:00:00,2025-01-27 13:00:00,https://jira.example.com/browse/JIRA-1028
PBI-1048,PowerBI,Medium,In Progress,Helpdesk,Slow dataset refresh performance,Visuals stuck loading indefinitely.,Gateway server under maintenance,Corrected data transformation steps.,2025-01-11 06:00:00,2025-01-13 07:00:00,https://app.powerbi.com/reports/PBI-1048
JIRA-1193,Jira,Critical,Open,DBA Team,503 service unavailable,Users reported service disruptions affecting business workflow.,Database deadlock,Resolved deadlock and restarted DB instance.,2025-01-29 03:00:00,2025-01-30 19:00:00,https://jira.example.com/browse/JIRA-1193
TAB-1039,Tableau,High,Resolved,Cloud Team,Tableau dashboard not refreshing,Interactive filters returning empty result set.,Tableau server CPU overload,Updated credentials and reran extract.,2025-01-12 11:00:00,2025-01-14 11:00:00,https://tableau.example.com/views/TAB-1039
CW-1124,CloudWatch,Critical,Resolved,Cloud Team,Lambda timeout errors increasing,Failure trend observed across multiple Lambda executions.,Unbalanced traffic routing,Optimized Lambda execution time.,2025-01-04 06:00:00,2025-01-06 08:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1124
CW-1130,CloudWatch,High,Resolved,Helpdesk,ELB target health check failures,Auto-recovery event performed by AWS.,Unoptimized workload placement,Optimized Lambda execution time.,2025-01-07 07:00:00,2025-01-09 01:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1130
JIRA-1136,Jira,Medium,Closed,DevOps,Application crash after update,Database query execution time exceeding normal threshold.,Firewall misconfiguration,Resolved deadlock and restarted DB instance.,2025-02-03 13:00:00,2025-02-06 12:00:00,https://jira.example.com/browse/JIRA-1136
CW-1064,CloudWatch,Critical,Resolved,Helpdesk,CloudWatch alarm triggered for CPU threshold,Monitoring detected abnormal spike in CPU usage.,High read/write operations,Scaled instance type.,2025-01-01 11:00:00,2025-01-03 23:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1064
TAB-1111,Tableau,Medium,In Progress,Helpdesk,Tableau dashboard not refreshing,Dashboard not showing newly ingested records.,Incorrect join logic in data model,Adjusted filter logic and republished dashboard.,2025-01-20 18:00:00,2025-01-21 02:00:00,https://tableau.example.com/views/TAB-1111
JIRA-1140,Jira,High,Open,Helpdesk,Email service outage,Service unreachable due to network routing failure.,Memory leak issue,Restarted impacted service and cleared cache.,2025-02-10 09:00:00,2025-02-11 22:00:00,https://jira.example.com/browse/JIRA-1140
PBI-1073,PowerBI,Low,Closed,Network Ops,Incorrect KPI values displayed,Unable to connect to on-prem data gateway.,Incorrect data transformation logic,Corrected data transformation steps.,2025-01-11 07:00:00,2025-01-13 06:00:00,https://app.powerbi.com/reports/PBI-1073
JIRA-1006,Jira,High,Closed,DevOps,High CPU usage on server,Authentication request failed repeatedly for end users.,Database deadlock,Renewed authentication certificate.,2025-02-03 09:00:00,2025-02-05 07:00:00,https://jira.example.com/browse/JIRA-1006
CW-1128,CloudWatch,High,Closed,Helpdesk,S3 request latency unusually high,Monitoring detected abnormal spike in CPU usage.,Unbalanced traffic routing,Optimized Lambda execution time.,2025-01-21 21:00:00,2025-01-23 17:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1128
CW-1155,CloudWatch,Medium,Resolved,DBA Team,Lambda timeout errors increasing,Monitoring detected abnormal spike in CPU usage.,Unoptimized workload placement,Scaled instance type.,2025-01-11 02:00:00,2025-01-12 23:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1155
JIRA-1073,Jira,Medium,Closed,DevOps,User unable to login,Database query execution time exceeding normal threshold.,Memory leak issue,Restarted impacted service and cleared cache.,2025-01-08 16:00:00,2025-01-11 09:00:00,https://jira.example.com/browse/JIRA-1073
PBI-1159,PowerBI,High,Closed,Security Ops,Report visuals not rendering,Users reported mismatched revenue numbers in dashboard.,Incorrect data transformation logic,Adjusted schema and refreshed dataset successfully.,2025-01-06 23:00:00,2025-01-08 21:00:00,https://app.powerbi.com/reports/PBI-1159
TAB-1099,Tableau,Medium,Resolved,DevOps,Slow performance on Tableau report,Interactive filters returning empty result set.,Data source credentials expired,Optimized query and reindexed table.,2025-01-09 09:00:00,2025-01-12 07:00:00,https://tableau.example.com/views/TAB-1099
JIRA-1145,Jira,Medium,In Progress,DBA Team,Database timeout issue,Users reported service disruptions affecting business workflow.,Expired authentication token,Renewed authentication certificate.,2025-01-17 01:00:00,2025-01-19 19:00:00,https://jira.example.com/browse/JIRA-1145
TAB-1092,Tableau,Medium,In Progress,Security Ops,Permission denied on shared dashboard,Dashboard not showing newly ingested records.,Tableau server CPU overload,Adjusted filter logic and republished dashboard.,2025-01-10 01:00:00,2025-01-12 17:00:00,https://tableau.example.com/views/TAB-1092
TAB-1034,Tableau,Medium,Resolved,Network Ops,Extract refresh failed,Users experiencing delay in loading components.,Network throttling issue,Optimized query and reindexed table.,2025-01-07 01:00:00,2025-01-08 15:00:00,https://tableau.example.com/views/TAB-1034
TAB-1020,Tableau,Low,In Progress,Cloud Team,Missing data in visualization,Scheduled extract refresh failure detected.,Data source credentials expired,Updated credentials and reran extract.,2025-01-20 09:00:00,2025-01-22 03:00:00,https://tableau.example.com/views/TAB-1020
PBI-1050,PowerBI,Low,In Progress,DBA Team,Gateway connection error,Unable to connect to on-prem data gateway.,Gateway authentication failure,Adjusted schema and refreshed dataset successfully.,2025-02-08 15:00:00,2025-02-09 15:00:00,https://app.powerbi.com/reports/PBI-1050
TAB-1180,Tableau,Critical,Open,Helpdesk,Extract refresh failed,Scheduled extract refresh failure detected.,Tableau server CPU overload,Adjusted filter logic and republished dashboard.,2025-01-15 06:00:00,2025-01-16 16:00:00,https://tableau.example.com/views/TAB-1180
JIRA-1132,Jira,Low,Open,Helpdesk,Database timeout issue,Service unreachable due to network routing failure.,Memory leak issue,Resolved deadlock and restarted DB instance.,2025-02-06 20:00:00,2025-02-06 23:00:00,https://jira.example.com/browse/JIRA-1132
TAB-1175,Tableau,Low,Resolved,Cloud Team,Dashboard filter not working,Interactive filters returning empty result set.,Data source credentials expired,Optimized query and reindexed table.,2025-01-26 00:00:00,2025-01-28 08:00:00,https://tableau.example.com/views/TAB-1175
PBI-1004,PowerBI,High,Open,DevOps,Power BI refresh failed,Visuals stuck loading indefinitely.,Gateway server under maintenance,Adjusted schema and refreshed dataset successfully.,2025-01-08 02:00:00,2025-01-10 12:00:00,https://app.powerbi.com/reports/PBI-1004
PBI-1122,PowerBI,Medium,In Progress,Cloud Team,Incorrect KPI values displayed,Visuals stuck loading indefinitely.,Gateway authentication failure,Reconfigured gateway settings and validated connectivity.,2025-01-19 19:00:00,2025-01-22 07:00:00,https://app.powerbi.com/reports/PBI-1122
CW-1149,CloudWatch,Low,Open,Network Ops,ELB target health check failures,Monitoring detected abnormal spike in CPU usage.,Unoptimized workload placement,Optimized Lambda execution time.,2025-01-12 16:00:00,2025-01-13 04:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1149
PBI-1026,PowerBI,Critical,Open,Helpdesk,Row-level security not applied,Scheduled data refresh encountered failure due to timeout.,Dataset schema mismatch,Corrected data transformation steps.,2025-01-05 01:00:00,2025-01-07 11:00:00,https://app.powerbi.com/reports/PBI-1026
JIRA-1041,Jira,High,Open,DevOps,Disk space running low,Database query execution time exceeding normal threshold.,Firewall misconfiguration,Restarted impacted service and cleared cache.,2025-01-01 20:00:00,2025-01-02 10:00:00,https://jira.example.com/browse/JIRA-1041
PBI-1095,PowerBI,Medium,Closed,DevOps,Report visuals not rendering,Users reported mismatched revenue numbers in dashboard.,Gateway server under maintenance,Reconfigured gateway settings and validated connectivity.,2025-01-23 07:00:00,2025-01-25 19:00:00,https://app.powerbi.com/reports/PBI-1095
JIRA-1108,Jira,Medium,In Progress,Cloud Team,Disk space running low,System detected performance degradation across multiple nodes.,Firewall misconfiguration,Resolved deadlock and restarted DB instance.,2025-01-27 06:00:00,2025-01-28 11:00:00,https://jira.example.com/browse/JIRA-1108
TAB-1144,Tableau,Medium,Closed,DBA Team,Slow performance on Tableau report,Dashboard not showing newly ingested records.,Incorrect join logic in data model,Updated credentials and reran extract.,2025-01-23 22:00:00,2025-01-24 09:00:00,https://tableau.example.com/views/TAB-1144
JIRA-1056,Jira,Critical,In Progress,Security Ops,503 service unavailable,Service unreachable due to network routing failure.,Expired authentication token,Resolved deadlock and restarted DB instance.,2025-01-18 00:00:00,2025-01-20 00:00:00,https://jira.example.com/browse/JIRA-1056
TAB-1059,Tableau,Low,Open,Cloud Team,Permission denied on shared dashboard,Interactive filters returning empty result set.,Network throttling issue,Optimized query and reindexed table.,2025-02-01 10:00:00,2025-02-04 06:00:00,https://tableau.example.com/views/TAB-1059
PBI-1079,PowerBI,Low,Closed,DevOps,Slow dataset refresh performance,Scheduled data refresh encountered failure due to timeout.,Incorrect data transformation logic,Reconfigured gateway settings and validated connectivity.,2025-01-06 06:00:00,2025-01-08 13:00:00,https://app.powerbi.com/reports/PBI-1079
CW-1025,CloudWatch,Low,Resolved,Security Ops,RDS free storage space critically low,Monitoring detected abnormal spike in CPU usage.,High read/write operations,Optimized Lambda execution time.,2025-01-06 11:00:00,2025-01-07 00:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1025
TAB-1027,Tableau,Low,In Progress,Security Ops,Slow performance on Tableau report,Scheduled extract refresh failure detected.,Data source credentials expired,Optimized query and reindexed table.,2025-01-31 01:00:00,2025-02-02 18:00:00,https://tableau.example.com/views/TAB-1027
TAB-1012,Tableau,Critical,Open,DevOps,Tableau dashboard not refreshing,Scheduled extract refresh failure detected.,Tableau server CPU overload,Adjusted filter logic and republished dashboard.,2025-01-28 23:00:00,2025-01-31 09:00:00,https://tableau.example.com/views/TAB-1012
PBI-1193,PowerBI,Medium,In Progress,Cloud Team,Report visuals not rendering,Scheduled data refresh encountered failure due to timeout.,Incorrect data transformation logic,Reconfigured gateway settings and validated connectivity.,2025-02-02 02:00:00,2025-02-04 12:00:00,https://app.powerbi.com/reports/PBI-1193
TAB-1132,Tableau,Medium,Closed,DevOps,Missing data in visualization,Users experiencing delay in loading components.,Incorrect join logic in data model,Adjusted filter logic and republished dashboard.,2025-01-01 19:00:00,2025-01-02 07:00:00,https://tableau.example.com/views/TAB-1132
JIRA-1024,Jira,Medium,Closed,Security Ops,Email service outage,System detected performance degradation across multiple nodes.,Firewall misconfiguration,Restarted impacted service and cleared cache.,2025-01-10 11:00:00,2025-01-11 02:00:00,https://jira.example.com/browse/JIRA-1024
CW-1180,CloudWatch,Medium,Open,Cloud Team,CloudWatch alarm triggered for CPU threshold,Monitoring detected abnormal spike in CPU usage.,Infinite loop execution,Increased allocated resources.,2025-02-10 03:00:00,2025-02-12 19:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1180
TAB-1151,Tableau,Critical,In Progress,Cloud Team,Extract refresh failed,Users experiencing delay in loading components.,Data source credentials expired,Updated credentials and reran extract.,2025-01-28 05:00:00,2025-01-30 03:00:00,https://tableau.example.com/views/TAB-1151
TAB-1156,Tableau,Critical,In Progress,DevOps,Dashboard filter not working,Interactive filters returning empty result set.,Data source credentials expired,Adjusted filter logic and republished dashboard.,2025-01-24 09:00:00,2025-01-25 16:00:00,https://tableau.example.com/views/TAB-1156
JIRA-1051,Jira,Medium,Resolved,DevOps,Database timeout issue,Users reported service disruptions affecting business workflow.,Memory leak issue,Restarted impacted service and cleared cache.,2025-01-15 17:00:00,2025-01-18 13:00:00,https://jira.example.com/browse/JIRA-1051
TAB-1131,Tableau,Low,In Progress,Network Ops,Missing data in visualization,Interactive filters returning empty result set.,Incorrect join logic in data model,Updated credentials and reran extract.,2025-02-10 08:00:00,2025-02-12 20:00:00,https://tableau.example.com/views/TAB-1131
CW-1133,CloudWatch,Medium,Open,DBA Team,S3 request latency unusually high,Monitoring detected abnormal spike in CPU usage.,Infinite loop execution,Optimized Lambda execution time.,2025-01-23 06:00:00,2025-01-26 01:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1133
CW-1029,CloudWatch,High,Closed,DBA Team,S3 request latency unusually high,Elevated latency impacting application performance.,High read/write operations,Increased allocated resources.,2025-02-04 07:00:00,2025-02-05 08:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1029
PBI-1101,PowerBI,Critical,Open,Helpdesk,Incorrect KPI values displayed,Visuals stuck loading indefinitely.,Gateway authentication failure,Adjusted schema and refreshed dataset successfully.,2025-02-03 07:00:00,2025-02-05 11:00:00,https://app.powerbi.com/reports/PBI-1101
TAB-1134,Tableau,Low,Closed,Helpdesk,Extract refresh failed,Users experiencing delay in loading components.,Network throttling issue,Updated credentials and reran extract.,2025-01-04 00:00:00,2025-01-05 05:00:00,https://tableau.example.com/views/TAB-1134
TAB-1085,Tableau,Medium,Open,DevOps,Tableau dashboard not refreshing,Users experiencing delay in loading components.,Tableau server CPU overload,Optimized query and reindexed table.,2025-01-31 11:00:00,2025-01-31 16:00:00,https://tableau.example.com/views/TAB-1085
JIRA-1018,Jira,High,Resolved,DBA Team,Database timeout issue,Authentication request failed repeatedly for end users.,Expired authentication token,Restarted impacted service and cleared cache.,2025-02-09 06:00:00,2025-02-10 16:00:00,https://jira.example.com/browse/JIRA-1018
PBI-1184,PowerBI,Critical,Resolved,Network Ops,Report visuals not rendering,Visuals stuck loading indefinitely.,Dataset schema mismatch,Reconfigured gateway settings and validated connectivity.,2025-02-06 23:00:00,2025-02-09 16:00:00,https://app.powerbi.com/reports/PBI-1184
CW-1148,CloudWatch,Medium,Open,DevOps,CloudWatch alarm triggered for CPU threshold,Auto-recovery event performed by AWS.,High read/write operations,Increased allocated resources.,2025-02-05 06:00:00,2025-02-07 21:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1148
JIRA-1083,Jira,Low,Closed,Cloud Team,503 service unavailable,System detected performance degradation across multiple nodes.,SSL handshake failure,Restarted impacted service and cleared cache.,2025-02-08 20:00:00,2025-02-09 08:00:00,https://jira.example.com/browse/JIRA-1083
JIRA-1061,Jira,High,In Progress,Security Ops,Disk space running low,Service unreachable due to network routing failure.,Expired authentication token,Renewed authentication certificate.,2025-01-20 18:00:00,2025-01-21 03:00:00,https://jira.example.com/browse/JIRA-1061
PBI-1062,PowerBI,Medium,Resolved,DBA Team,Gateway connection error,Users reported mismatched revenue numbers in dashboard.,Gateway server under maintenance,Corrected data transformation steps.,2025-01-21 06:00:00,2025-01-23 21:00:00,https://app.powerbi.com/reports/PBI-1062
TAB-1091,Tableau,Medium,In Progress,DevOps,Extract refresh failed,Interactive filters returning empty result set.,Incorrect join logic in data model,Optimized query and reindexed table.,2025-01-03 07:00:00,2025-01-04 23:00:00,https://tableau.example.com/views/TAB-1091
PBI-1047,PowerBI,Low,Open,Network Ops,Power BI refresh failed,Users reported mismatched revenue numbers in dashboard.,Gateway authentication failure,Adjusted schema and refreshed dataset successfully.,2025-01-09 14:00:00,2025-01-12 00:00:00,https://app.powerbi.com/reports/PBI-1047
JIRA-1182,Jira,High,Open,Helpdesk,Email service outage,Users reported service disruptions affecting business workflow.,Memory leak issue,Renewed authentication certificate.,2025-02-08 04:00:00,2025-02-09 21:00:00,https://jira.example.com/browse/JIRA-1182
PBI-1149,PowerBI,Low,Closed,DevOps,Gateway connection error,Unable to connect to on-prem data gateway.,Gateway authentication failure,Reconfigured gateway settings and validated connectivity.,2025-01-02 16:00:00,2025-01-03 06:00:00,https://app.powerbi.com/reports/PBI-1149
PBI-1100,PowerBI,High,In Progress,Cloud Team,Power BI refresh failed,Visuals stuck loading indefinitely.,Gateway authentication failure,Adjusted schema and refreshed dataset successfully.,2025-02-06 10:00:00,2025-02-07 08:00:00,https://app.powerbi.com/reports/PBI-1100
TAB-1023,Tableau,Critical,Resolved,Helpdesk,Extract refresh failed,Scheduled extract refresh failure detected.,Tableau server CPU overload,Optimized query and reindexed table.,2025-01-15 16:00:00,2025-01-18 13:00:00,https://tableau.example.com/views/TAB-1023
PBI-1024,PowerBI,Low,Resolved,DBA Team,Gateway connection error,Unable to connect to on-prem data gateway.,Incorrect data transformation logic,Adjusted schema and refreshed dataset successfully.,2025-01-24 08:00:00,2025-01-24 14:00:00,https://app.powerbi.com/reports/PBI-1024
PBI-1067,PowerBI,Low,Closed,DevOps,Power BI refresh failed,Visuals stuck loading indefinitely.,Gateway server under maintenance,Corrected data transformation steps.,2025-01-23 13:00:00,2025-01-23 18:00:00,https://app.powerbi.com/reports/PBI-1067
TAB-1119,Tableau,Medium,Closed,Helpdesk,Slow performance on Tableau report,Users experiencing delay in loading components.,Tableau server CPU overload,Updated credentials and reran extract.,2025-01-09 03:00:00,2025-01-11 18:00:00,https://tableau.example.com/views/TAB-1119
TAB-1128,Tableau,Low,In Progress,DBA Team,Dashboard filter not working,Interactive filters returning empty result set.,Tableau server CPU overload,Adjusted filter logic and republished dashboard.,2025-01-26 15:00:00,2025-01-27 11:00:00,https://tableau.example.com/views/TAB-1128
PBI-1043,PowerBI,Medium,Open,Helpdesk,Power BI refresh failed,Users reported mismatched revenue numbers in dashboard.,Gateway server under maintenance,Corrected data transformation steps.,2025-01-14 08:00:00,2025-01-14 15:00:00,https://app.powerbi.com/reports/PBI-1043
PBI-1093,PowerBI,High,In Progress,DevOps,Report visuals not rendering,Visuals stuck loading indefinitely.,Gateway server under maintenance,Reconfigured gateway settings and validated connectivity.,2025-01-15 00:00:00,2025-01-15 08:00:00,https://app.powerbi.com/reports/PBI-1093
JIRA-1176,Jira,Medium,Closed,Security Ops,VPN connection failure,Users reported service disruptions affecting business workflow.,SSL handshake failure,Renewed authentication certificate.,2025-01-08 17:00:00,2025-01-11 17:00:00,https://jira.example.com/browse/JIRA-1176
CW-1076,CloudWatch,Critical,Resolved,DevOps,EC2 instance restart detected,Database storage reaching capacity limits.,Infinite loop execution,Increased allocated resources.,2025-01-08 05:00:00,2025-01-11 00:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1076
TAB-1163,Tableau,Medium,Resolved,DevOps,Dashboard filter not working,Dashboard not showing newly ingested records.,Incorrect join logic in data model,Updated credentials and reran extract.,2025-01-13 01:00:00,2025-01-15 20:00:00,https://tableau.example.com/views/TAB-1163
JIRA-1163,Jira,High,Resolved,Helpdesk,Disk space running low,System detected performance degradation across multiple nodes.,Firewall misconfiguration,Restarted impacted service and cleared cache.,2025-01-05 07:00:00,2025-01-05 16:00:00,https://jira.example.com/browse/JIRA-1163
TAB-1048,Tableau,Low,Resolved,Network Ops,Dashboard filter not working,Scheduled extract refresh failure detected.,Incorrect join logic in data model,Adjusted filter logic and republished dashboard.,2025-01-04 19:00:00,2025-01-04 21:00:00,https://tableau.example.com/views/TAB-1048
PBI-1118,PowerBI,High,Open,DBA Team,Slow dataset refresh performance,Unable to connect to on-prem data gateway.,Gateway authentication failure,Reconfigured gateway settings and validated connectivity.,2025-01-13 08:00:00,2025-01-13 10:00:00,https://app.powerbi.com/reports/PBI-1118
CW-1110,CloudWatch,Low,In Progress,Helpdesk,EC2 instance restart detected,Elevated latency impacting application performance.,High read/write operations,Scaled instance type.,2025-01-15 08:00:00,2025-01-18 06:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1110
JIRA-1074,Jira,Critical,Resolved,Network Ops,Disk space running low,Application not responding after deployment activities.,SSL handshake failure,Renewed authentication certificate.,2025-01-08 11:00:00,2025-01-11 10:00:00,https://jira.example.com/browse/JIRA-1074
CW-1043,CloudWatch,High,Open,DBA Team,RDS free storage space critically low,Monitoring detected abnormal spike in CPU usage.,Unoptimized workload placement,Optimized Lambda execution time.,2025-01-09 07:00:00,2025-01-10 03:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1043
PBI-1005,PowerBI,Critical,In Progress,DBA Team,Row-level security not applied,Users reported mismatched revenue numbers in dashboard.,Gateway server under maintenance,Adjusted schema and refreshed dataset successfully.,2025-02-04 20:00:00,2025-02-07 19:00:00,https://app.powerbi.com/reports/PBI-1005
JIRA-1104,Jira,Low,Closed,Network Ops,Disk space running low,Authentication request failed repeatedly for end users.,SSL handshake failure,Optimized memory allocation and redeployed.,2025-02-07 05:00:00,2025-02-09 23:00:00,https://jira.example.com/browse/JIRA-1104
JIRA-1114,Jira,Critical,Open,Helpdesk,User unable to login,System detected performance degradation across multiple nodes.,Database deadlock,Restarted impacted service and cleared cache.,2025-01-20 01:00:00,2025-01-20 04:00:00,https://jira.example.com/browse/JIRA-1114
TAB-1100,Tableau,Critical,Resolved,Network Ops,Dashboard filter not working,Interactive filters returning empty result set.,Tableau server CPU overload,Optimized query and reindexed table.,2025-01-09 15:00:00,2025-01-10 04:00:00,https://tableau.example.com/views/TAB-1100
JIRA-1092,Jira,Medium,In Progress,Cloud Team,VPN connection failure,Users reported service disruptions affecting business workflow.,Network latency spike,Restarted impacted service and cleared cache.,2025-01-13 05:00:00,2025-01-15 22:00:00,https://jira.example.com/browse/JIRA-1092
PBI-1011,PowerBI,High,Resolved,Cloud Team,Row-level security not applied,Visuals stuck loading indefinitely.,Gateway server under maintenance,Adjusted schema and refreshed dataset successfully.,2025-02-06 23:00:00,2025-02-08 04:00:00,https://app.powerbi.com/reports/PBI-1011
JIRA-1089,Jira,Low,Open,Security Ops,User unable to login,Users reported service disruptions affecting business workflow.,Memory leak issue,Resolved deadlock and restarted DB instance.,2025-01-01 20:00:00,2025-01-03 06:00:00,https://jira.example.com/browse/JIRA-1089
PBI-1128,PowerBI,High,Open,Helpdesk,Incorrect KPI values displayed,Scheduled data refresh encountered failure due to timeout.,Incorrect data transformation logic,Corrected data transformation steps.,2025-01-19 10:00:00,2025-01-21 10:00:00,https://app.powerbi.com/reports/PBI-1128
CW-1134,CloudWatch,Medium,Closed,Helpdesk,S3 request latency unusually high,Database storage reaching capacity limits.,Infinite loop execution,Increased allocated resources.,2025-01-28 06:00:00,2025-01-28 11:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1134
CW-1143,CloudWatch,Critical,Resolved,DBA Team,CloudWatch alarm triggered for CPU threshold,Auto-recovery event performed by AWS.,High read/write operations,Optimized Lambda execution time.,2025-02-07 14:00:00,2025-02-09 22:00:00,https://console.aws.amazon.com/cloudwatch/home#alarms/CW-1143
PBI-1175,PowerBI,Critical,Closed,DevOps,Power BI refresh failed,Scheduled data refresh encountered failure due to timeout.,Incorrect data transformation logic,Corrected data transformation steps.,2025-02-05 12:00:00,2025-02-05 17:00:00,https://app.powerbi.com/reports/PBI-1175
PBI-1097,PowerBI,Low,Resolved,DevOps,Row-level security not applied,Unable to connect to on-prem data gateway.,Gateway authentication failure,Reconfigured gateway settings and validated connectivity.,2025-02-08 19:00:00,2025-02-11 17:00:00,https://app.powerbi.com/reports/PBI-1097
PBI-1094,PowerBI,Low,Closed,DevOps,Incorrect KPI values displayed,Unable to connect to on-prem data gateway.,Gateway server under maintenance,Adjusted schema and refreshed dataset successfully.,2025-02-03 17:00:00,2025-02-06 16:00:00,https://app.powerbi.com/reports/PBI-1094
JIRA-1011,Jira,Critical,Resolved,Security Ops,VPN connection failure,Users reported service disruptions affecting business workflow.,Firewall misconfiguration,Renewed authentication certificate.,2025-01-16 17:00:00,2025-01-16 23:00:00,https://jira.example.com/browse/JIRA-1011
